timestamp,datetime,cpu_temp,vulcan_s1_temp,vulcan_s2_temp
1766487832.2986312,2025-12-23 19:03:52,86.0,58.7,59.2
1766487843.7075677,2025-12-23 19:04:03,86.0,58.7,59.2
1766487854.9938982,2025-12-23 19:04:14,86.0,58.5,59.2
1766487865.6857705,2025-12-23 19:04:25,86.0,58.5,59.2
1766487875.774445,2025-12-23 19:04:35,86.0,58.5,59.2
1766487887.9111042,2025-12-23 19:04:47,86.0,58.5,59.2
1766487900.9567046,2025-12-23 19:05:00,86.0,58.5,59.2
1766487913.213885,2025-12-23 19:05:13,86.0,58.5,59.2
1766487923.7799232,2025-12-23 19:05:23,87.0,58.5,59.2
1766487934.1811454,2025-12-23 19:05:34,86.0,58.5,59.2
1766487943.6536531,2025-12-23 19:05:43,86.0,58.5,59.2
1766487956.6515787,2025-12-23 19:05:56,86.0,58.5,59.2
1766487967.201576,2025-12-23 19:06:07,86.0,58.5,59.2
1766487980.2055507,2025-12-23 19:06:20,86.0,58.5,59.2
1766487992.757485,2025-12-23 19:06:32,89.0,58.5,59.2
1766488003.2321408,2025-12-23 19:06:43,86.0,58.5,59.2
1766488014.017807,2025-12-23 19:06:54,86.0,58.5,59.2
1766488026.693873,2025-12-23 19:07:06,87.0,58.5,59.2
1766488036.794932,2025-12-23 19:07:16,85.0,58.5,59.2
1766488049.3872535,2025-12-23 19:07:29,89.0,58.5,59.2
1766488062.0321677,2025-12-23 19:07:42,87.0,58.5,59.2
1766488073.188223,2025-12-23 19:07:53,83.0,58.5,59.2
1766488084.8791468,2025-12-23 19:08:04,87.0,58.5,59.2
1766488096.9119785,2025-12-23 19:08:16,87.0,58.5,59.2
1766488108.4145722,2025-12-23 19:08:28,87.0,58.5,59.2
1766488116.9587212,2025-12-23 19:08:36,86.0,58.5,59.2
1766488128.2440581,2025-12-23 19:08:48,83.0,58.5,59.2
1766488139.759499,2025-12-23 19:08:59,89.0,58.5,59.2
1766488150.4168706,2025-12-23 19:09:10,86.0,58.5,59.2
1766488160.466862,2025-12-23 19:09:20,87.0,58.5,59.0
1766488169.6621852,2025-12-23 19:09:29,87.0,58.5,59.2
1766488180.6657379,2025-12-23 19:09:40,87.0,58.5,59.0
1766488192.2498271,2025-12-23 19:09:52,86.0,58.5,59.2
1766488203.3794982,2025-12-23 19:10:03,87.0,58.5,59.2
1766488214.1852226,2025-12-23 19:10:14,86.0,58.5,59.0
1766488226.597551,2025-12-23 19:10:26,89.0,58.5,59.0
1766488235.1951847,2025-12-23 19:10:35,86.0,58.5,59.2
1766488246.3275094,2025-12-23 19:10:46,87.0,58.5,59.0
1766488257.3192103,2025-12-23 19:10:57,87.0,58.5,59.2
1766488267.3946476,2025-12-23 19:11:07,87.0,58.5,59.2
1766488278.6078146,2025-12-23 19:11:18,86.0,58.5,59.0
1766488290.5755348,2025-12-23 19:11:30,87.0,58.5,59.2
1766488302.410199,2025-12-23 19:11:42,87.0,58.5,59.2
1766488314.2467682,2025-12-23 19:11:54,86.0,58.5,59.2
1766488324.912155,2025-12-23 19:12:04,87.0,58.5,59.2
1766488335.902063,2025-12-23 19:12:15,87.0,58.5,59.2
1766488349.2500544,2025-12-23 19:12:29,86.0,58.5,59.2
1766488358.6557379,2025-12-23 19:12:38,87.0,58.5,59.2
1766488369.6581419,2025-12-23 19:12:49,86.0,58.7,59.2
